id,name,category,calories,suitable_meal_times
ad3de666-05e4-416c-a7d4-a5c5cf79d6f4,Water,Beverages,0,"BREAKFAST,LUNCH,DINNER"
6bad53cc-89fa-403b-844a-70926fa9b00f,Chocolate Ensure,Beverages,200,BREAKFAST
3e511232-c761-4045-b7ef-2d739c065a33,Vanilla Ensure,Beverages,200,BREAKFAST
9f575340-9fba-4e93-9427-ac0a91504417,Coffee,Beverages,10,"BREAKFAST,LUNCH"
15c8ac77-128e-4825-960e-eb5638376e00,Pancakes,Entrees,350,BREAKFAST
3f6cb45d-e813-4e67-be9c-9f78b597bdbc,Bacon,Entrees,250,BREAKFAST
9e329204-a9d3-445b-ad6d-5eeb6456af66,Hash Browns,Sides,150,BREAKFAST
3080a02c-d6a9-4634-8878-711920f11a66,Caesar Salad,Entrees,500,"LUNCH,DINNER"
89f0fc07-045e-425c-aeef-f092562fc8c9,Turkey Sandwich,Entrees,500,"LUNCH,DINNER"
99b9a31e-e1fc-4fd9-9897-854f90acf3bb,Tomato Soup,Entrees,400,"LUNCH,DINNER"
385079f9-d049-48e2-9093-5bdcf328282f,Salmon,Entrees,450,"LUNCH,DINNER"
a2b3c4d5-e6f7-8901-2345-6789abcdef01,Grilled Chicken,Entrees,550,"LUNCH,DINNER"
b3c4d5e6-f7a8-9012-3456-789abcdef012,Pasta Primavera,Entrees,600,"LUNCH,DINNER"
59f4f0b4-2075-40a4-b95b-883433eed1a2,Mixed Veggies,Sides,200,"LUNCH,DINNER"
0b9c16f1-d4c0-40c8-8b7a-3d4a50f653ad,Mashed Potatoes,Sides,150,"LUNCH,DINNER"
c4d5e6f7-a8b9-0123-4567-89abcdef0123,Dinner Roll,Sides,120,"LUNCH,DINNER"
cc6ae954-43a8-46da-8bbd-3548ae87cf01,Chocolate Pudding,Desserts,150,"LUNCH,DINNER"
52e1fc08-59b3-4ecc-a8a4-93144566b932,Apple Pie,Desserts,150,"LUNCH,DINNER"
d5e6f7a8-b9c0-1234-5678-9abcdef01234,Fruit Cup,Desserts,80,"BREAKFAST,LUNCH,DINNER"
